image_name,score_positive,score_negative,margin_pos_minus_neg
000001.png,0.271240234375,0.24951171875,0.021728515625
000013.png,0.261962890625,0.2452392578125,0.0167236328125
000020.png,0.254150390625,0.23876953125,0.015380859375
000029.png,0.2587890625,0.2420654296875,0.0167236328125
000036.png,0.25634765625,0.239990234375,0.016357421875
000037.png,0.263427734375,0.244140625,0.019287109375
000042.png,0.267822265625,0.2471923828125,0.0206298828125
000066.png,0.260009765625,0.24365234375,0.016357421875
000076.png,0.258544921875,0.263427734375,-0.0048828125
000093.png,0.264892578125,0.24853515625,0.016357421875
000096.png,0.26611328125,0.250732421875,0.015380859375
000103.png,0.263427734375,0.250244140625,0.01318359375
000117.png,0.27685546875,0.26806640625,0.0087890625
000126.png,0.2900390625,0.29541015625,-0.00537109375
000142.png,0.275390625,0.2578125,0.017578125
000168.png,0.27685546875,0.2626953125,0.01416015625
000173.png,0.277099609375,0.26904296875,0.008056640625
000194.png,0.293701171875,0.271240234375,0.0224609375
000214.png,0.28662109375,0.270263671875,0.016357421875
000229.png,0.2919921875,0.281982421875,0.010009765625
000237.png,0.2998046875,0.279052734375,0.020751953125
000239.png,0.2958984375,0.284423828125,0.011474609375
000242.png,0.299560546875,0.28271484375,0.016845703125
000248.png,0.282470703125,0.2724609375,0.010009765625
000250.png,0.28173828125,0.271728515625,0.010009765625
000263.png,0.2841796875,0.26953125,0.0146484375
000269.png,0.278564453125,0.2607421875,0.017822265625
000272.png,0.288818359375,0.2744140625,0.014404296875
000303.png,0.286865234375,0.27001953125,0.016845703125
000313.png,0.274658203125,0.26318359375,0.011474609375
000320.png,0.27880859375,0.260986328125,0.017822265625
000345.png,0.277099609375,0.268798828125,0.00830078125
000353.png,0.27685546875,0.276123046875,0.000732421875
000366.png,0.2880859375,0.271484375,0.0166015625
000378.png,0.276611328125,0.2626953125,0.013916015625
000390.png,0.27197265625,0.282470703125,-0.010498046875
000410.png,0.285400390625,0.294189453125,-0.0087890625
000423.png,0.281005859375,0.258056640625,0.02294921875
000433.png,0.282470703125,0.266357421875,0.01611328125
000439.png,0.28076171875,0.26953125,0.01123046875
000461.png,0.26123046875,0.24658203125,0.0146484375
000469.png,0.2724609375,0.25244140625,0.02001953125
000477.png,0.282470703125,0.263916015625,0.0185546875
000499.png,0.28076171875,0.251708984375,0.029052734375
000508.png,0.28173828125,0.26318359375,0.0185546875
000511.png,0.2705078125,0.2474365234375,0.0230712890625
000532.png,0.269287109375,0.2496337890625,0.0196533203125
000540.png,0.2744140625,0.268798828125,0.005615234375
000541.png,0.26416015625,0.2354736328125,0.0286865234375
000544.png,0.256591796875,0.229248046875,0.02734375
000565.png,0.27294921875,0.254150390625,0.018798828125
000568.png,0.263427734375,0.2479248046875,0.0155029296875
000578.png,0.2822265625,0.2578125,0.0244140625
000593.png,0.283935546875,0.2578125,0.026123046875
000597.png,0.291748046875,0.26513671875,0.026611328125
000602.png,0.26416015625,0.24853515625,0.015625
000615.png,0.282470703125,0.25537109375,0.027099609375
000633.png,0.275634765625,0.256591796875,0.01904296875
000644.png,0.3037109375,0.28564453125,0.01806640625
000646.png,0.2734375,0.261474609375,0.011962890625
000655.png,0.284423828125,0.275390625,0.009033203125
000662.png,0.27392578125,0.255859375,0.01806640625
000708.png,0.27099609375,0.254638671875,0.016357421875
000713.png,0.28125,0.271240234375,0.010009765625
000716.png,0.26904296875,0.25390625,0.01513671875
000721.png,0.2493896484375,0.244140625,0.0052490234375
000729.png,0.275146484375,0.25341796875,0.021728515625
000744.png,0.28564453125,0.2666015625,0.01904296875
000751.png,0.266357421875,0.25390625,0.012451171875
000787.png,0.28759765625,0.27685546875,0.0107421875
000796.png,0.285400390625,0.297119140625,-0.01171875
000818.png,0.265869140625,0.24462890625,0.021240234375
000820.png,0.2724609375,0.2548828125,0.017578125
000828.png,0.260009765625,0.2421875,0.017822265625
000844.png,0.27197265625,0.25,0.02197265625
000862.png,0.26953125,0.25341796875,0.01611328125
000866.png,0.26220703125,0.24267578125,0.01953125
000873.png,0.262939453125,0.2388916015625,0.0240478515625
000877.png,0.27392578125,0.25244140625,0.021484375
000891.png,0.2646484375,0.2493896484375,0.0152587890625
