image_path,score
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000508.png,0.2462158203125
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000511.png,0.23681640625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000532.png,0.2445068359375
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000540.png,0.2626953125
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000541.png,0.235595703125
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000544.png,0.2371826171875
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000565.png,0.2467041015625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000568.png,0.2415771484375
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000578.png,0.2425537109375
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000593.png,0.2437744140625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000597.png,0.252197265625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000602.png,0.2410888671875
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000615.png,0.24951171875
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000633.png,0.255859375
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000644.png,0.2822265625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000646.png,0.270263671875
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000655.png,0.2744140625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000662.png,0.256103515625
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000708.png,0.2498779296875
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000713.png,0.2705078125
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000716.png,0.253662109375
/scratch/hl106/zx_workspace/cto/VcEdit/gs_data/AAAFinal_results/Zhixuan_new_buzz cut_registered/images/000721.png,0.250244140625
